yazar_id,ekno,kisa_adi,tam_adi
2152,2385,O. Ekici,Ozan Ekici
2153,2386,Y. Selim,Yavuz Selim
2154,2387,Y. Çekirge,Yavuz Çekirge
2155,2388,Y. Akkılıç,Yılmaz Akkılıç
2156,2389,Ş. Çamoğlu,Şemsettin Çamoğlu
2157,2390,K. N. Duru,Kâzım Nami Duru
2158,2391,E. Esin,Emel Esin
2159,2392,H. Özkök,Hidayet Özkök
2160,2393,S. Akşin,Sina Akşin
2161,2394,M. Turhan,Mümtaz Turhan
2162,2395,C. T. Sadıklar,Cafer Tayyar Sadıklar
2163,2396,M. Aydemir,Melike Aydemir
2164,2397,Y. Alparslan,Yaşar Alparslan - Ali Özturan
2165,2398,E. Kalkan,Emir Kalkan
2166,2399,İ. Çağlı,İlhame Çağlı
2168,2401,Ş. K. Akar,Şevket Kâmil Akar
2169,2402,H. Gezer,Hasan Gezer
2170,2403,O. Karatay,Osman Karatay
2171,2404,T. Akkuş,Turgay Akkuş
2172,2405,R. Örsan,Rasin Örsan
2173,2406,N. Turhan,Naile Turhan
2174,2407,S. Ökten,Sadettin Ökten
2175,2408,U. Kocatürk,Utkan Kocatürk
2176,2409,A. Ş. Şerefli,Ahmet Şerif Şerefli
2177,2410,Y. Erkan,Yusuf Erkan
2178,2411,K. Elbingil,Kaan Elbingil
2179,2412,V. Serdar,Vildan Serdar
2180,2413,H. P. Kiper,H. Perihan Kiper
2181,2414,M. Ağ,Murat Ağ
2182,2415,N. Çağlar,Nafi Çağlar
2183,2416,F. Duman,Faruk Duman
2184,2417,Ü. Özünlü,Ünsal Özünlü
2185,2418,T. Seçer,Turhan Seçer
2186,2419,A. Bayramoğlu Alada,Adalet Bayramoğlu Alada
2187,2420,Z. Çon,Zafer Çon
2188,2421,B. Kamböre,Bade Kamböre
2189,2422,A. Özkiraz,Ahmet Özkiraz
2190,2423,Ö. S. Turan,Ömer Serkan Turan
2191,2424,T. Demir,Talip Demir
2192,2425,M. Öz,Murat Öz
2193,2426,S. Eminel,Semra Eminel
2194,2427,M. Akyol,Mete Akyol
2195,2428,F. Onaydın,Fatih Onaydın
2196,2429,Mehmet Semih,Mehmet Semih
2197,2430,D. Tarsus,Deniz Tarsus
2198,2431,S. Tekil,Süleyman Tekil
2199,2432,T. Feyzioğlu,Turhan Feyzioğlu
2200,2433,Mehmet Niyazi,Mehmet Niyazi Özdemir
2201,2434,TBMM tutanakları,TBMM tutanakları
2202,2435,A. B. Karataş,Abdülkadir Bülent Karataş
2203,2436,Ü. Kaftancıoğlu,Ümit Kaftancıoğlu
2204,2437,O. Tiryakioğlu,Okay Tiryakioğlu
2206,2439,M. Kara,Mustafa Kara
2207,2440,N. Ç. Atabey,N. Çiğdem Atabey
2208,2441,N. Genç,Nihat Genç
2210,2443,P. Tuğlacı,Pars Tuğlacı
2211,2444,H. Erbay,Hasan Erbay
2212,2445,A. Z. Kozanoğlu,Abdullah Ziya Kozanoğlu
2213,2446,M. Bilgili,Mustafa Bilgili
2214,2447,A. Ulukaya,Ahmet Ulukaya
2215,2448,E. Yıldız,Ethem Yıldız
2216,2449,M. R. Şirin,Mustafa Ruhi Şirin
2217,2450,M. Pekdemir,Melih Pekdemir
2218,2451,E. Cansen,Ege Cansen
2219,2452,E. Aktel,Engin Aktel
2220,2453,İ. Ünlüer,İhsan Ünlüer
2221,2454,S. Tansuğ,Sezer Tansuğ
2222,2455,E. Ataman Koç,Emine Ataman Koç
2223,2456,M. Fuat,Memet Fuat
2224,2457,E. Nutku,Emrullah Nutku
2225,2458,H. Çelik,Hilmi Çelik
2226,2459,T. Çelebi,Tülay Çelebi
2227,2460,N. Ertaş,Neşet Ertaş
2228,2461,E. Akpınar,Ertekin Akpınar
2229,2462,B. Özdal,Buket Özdal
2230,2463,H. Akpınar,Hakan Akpınar
2231,2464,Ö. Şenyapılı,Önder Şenyapılı
2232,2465,A. Tekin,Akgün Tekin
2233,2466,N. B. Ceylan,Nuri Bilge Ceylan
2234,2467,K. Öztürk,Kâzım Öztürk
2235,2468,R. Önsoy,Rifat Önsoy
2236,2469,M. Utar,Mahmut Utar
2237,2470,S. Çataltepe,Sipahi Çataltepe
2238,2471,H. Yel,Hakan Yel
2239,2472,T. K. Makal,Tahir Kutsi Makal
2240,2473,M. A. Aykut,Mahmut Attilâ Aykut
2241,2474,M. Dikmen,Mutlu Dikmen
2242,2475,İ. Güneş,İhsan Güneş
2243,2476,Ş. Çolakoğlu,Şinasi Çolakoğlu
2244,2477,M. Dağıtmaç,Murat Dağıtmaç - Şehadet Ekmen
2245,2478,R. Alpaslan,Ramazan Alpaslan
2246,2479,S. Uçar,Sevim Uçar
2247,2480,E. Pehlivan,Ethem Pehlivan
2249,2482,O. Sakarya,Onur Sakarya
2250,2483,O. Makal,Oğuz Makal
2251,2484,M. İlkin,Metin İlkin
2252,2485,A. Y. Özemre,Ahmet Yüksel Özemre
2253,2486,H. Çelebi,Hayati Çelebi
2254,2487,N. Özer,Nazmi Özer
2255,2488,İ. Ünal,İbrahim Ünal
2256,2489,M. Önal,Mücahit Önal
2257,2490,Cevat Rüştü,Cevat Rüştü
2258,2491,M. Necati,Mustafa Necati
2259,2492,M. Toker,Metin Toker
2260,2493,İ. M. K. İnal,İbnülemin Mahmut Kemal İnal
2261,2494,E. Afşar Aral,Esin Afşar Aral
2263,2496,H. İpekten,Halûk İpekten
2264,2497,A. Çelik,Ayşegül Çelik
2265,2498,M. Beyazyüz,Murat Beyazyüz
2266,2499,H. Ortaç,Hüsnü Ortaç
2267,2500,A. Akyıldız,Ali Akyıldız
2268,2501,H. Küçüktülü,Halit Küçüktülü
2269,2502,M. Özpehlivan,Murat Özpehlivan
2270,2503,F. Esendal,Fethi Esendal
2271,2504,M. Çapa,Mesut Çapa
2272,2505,Z. Özlü,Zeynel Özlü
2273,2506,Ö. Kurtuluş,Özgür Kurtuluş
2274,2507,B. Ünsal,Burcu Ünsal
2275,2508,B. Öztin Koparanoğlu,Belkıs Öztin Koparanoğlu
2276,2509,E. N. Duran,Elif Nazlı Duran
2277,2510,E. Ayverdi,Ekrem Ayverdi
2278,2511,F. Özdem,Filiz Özdem
2279,2512,B. Öz,Baki Öz
2280,2513,E. Göksü,Ekrem Göksü
2281,2514,T. Arı,Tekgül Arı
2282,2515,B. Darkot,Besim Darkot
2283,2516,N. Günal,Nurten Günal
2284,2517,S. Somersan,Semra Somersan
2285,2518,O. Koloğlu,Orhan Koloğlu
2286,2519,K. Olşen,Koray Olşen
2287,2520,M. Boydak,Melih Boydak
2288,2521,R. Unan,Rasim Unan
2289,2522,G. Çiğdem,Güneş Çiğdem
2290,2523,U. Kocabaşoğlu,Uygur Kocabaşoğlu
2291,2524,F. Şahin,Faruk Şahin
2292,2525,S. Hekimoğlu,Sertaç Hekimoğlu
2293,2526,Ş. Eczacıbaşı,Şakir Eczacıbaşı
2294,2527,B. T. Salihoğlu,Bekir Tuncer Salihoğlu
2295,2528,V. Z. Serter,Vehbi Zeki Serter
2296,2529,R. Çini,Rıfat Çini
2297,2530,V. S. Devrim,Vahmet Saffet Devrim
2298,2531,T. Bilgin,Turgut Bilgin
2299,2532,A. Korkut,Ahmet Korkut
2300,2533,F. Kurtoğlu,Fevzi Kurtoğlu
2301,2534,T. Kütükçü,Tamer Kütükçü
2302,2535,K. Tolga,Kemal Tolga
2303,2536,N. N. Çam,Nuhan Nebi Çam
2304,2537,N. Özkan,Niyazi Özkan
2305,2538,B. Z. Yılmazer,Bahadır Ziya Yılmazer
2306,2539,H. İ. Balkaş,Halil İbrahim Balkaş
2307,2540,E. Engin,Emel Engin
2308,2541,C. Çetin,Celâlettin Çetin
2309,2542,C. S. Kırımer,Cafer Seydahmet Kırımer
2310,2543,O. Erdem,Osman Erdem
2311,2544,G. Mesara,Gülbün Mesara
2312,2545,H. Kızılırmak,Hamza Kızılırmak
2313,2546,B. Ünver,Bircan Ünver
2314,2547,E. Caner,Emre Caner
2315,2548,M. O. Sağırcı,Mehmet Oğuz Sağırcı
2316,2549,M. K. Kolcuoğlu,Mutlu Kerem Kolcuoğlu
2317,2550,N. V. Çakırhan,Nail V. Çakırhan
2318,2551,İ. Şahinbaş,İsmail Şahinbaş
2319,2552,N. H. Bahtiyar,Niyazi Hüseyin Bahtiyar
2320,2553,U. Gündüz,Uğur Gündüz
2321,2554,K. Tülücü,Kâzım Tülücü
2322,2555,Ö. Çam,Ömer Çam
2323,2556,S. Sezer,Sennur Sezer
2324,2557,Y. Dursun,Yusuf Dursun
2325,2558,E. Aysan,Eren Aysan
2326,2559,,
2327,2560,Z. Oral,Zeynep Oral
2328,2561,M. Varol,Muharrem Varol
2329,2562,P. Göktaş,Pınar Göktaş
2330,2563,T. Turhan,Talat Turhan
2331,2564,N. Kalkan,Nevzat Kalkan
2332,2565,C. Burak,Cihat Burak
2333,2566,S. Y. Arvas,Selcen Yüksel Arvas
2334,2567,E. Karadeniz,Engin Karadeniz
2335,2568,R. Keleş,Ruşen Keleş
2336,2569,N. Canefe,Nergis Canefe
2337,2570,E. Okumuş,Ejder Okumuş
2338,2571,M. Sarıkaya,Mehmet Sarıkaya
2339,2572,C. Şener,Cemal Şener
2340,2573,H. Bal,Hüseyin Bal
2341,2574,İ. C. Erseven,İlhan Cem Erseven
2342,2575,H. Ertuğrul,Halit Ertuğrul
2344,2577,Y. Okur,Yiğit Okur
2345,2578,M. Keskin Köylü,Meltem Keskin Köylü
2346,2579,Ş. Balkı,Şakir Balkı
2347,2580,İ. Işık,İhsan Işık
2348,2581,A. Akbıyık,Abuzer Akbıyık
2349,2582,Ö. Akışoğlu,Özgür Akışoğlu
2350,2583,D. Aytar,Dündar Aytar
2352,2585,O. Yalçın,Osman Yalçın
2353,2586,İ. Arakon,İlhan Arakon
2355,2588,Ö. Atacık,Özcan Atacık
2356,2589,Z. Akçagüner,Zeliha Akçagüner
2357,2590,U. İğdemir,Uluğ İğdemir
2358,2591,N. Yalçın,Nevzat Yalçın
2359,2592,E. Çınar,Elif Çınar
2360,2593,M. Akoğlan Kozak,Meryem Akoğlan Kozak
2361,2594,M. Çelen,Meral Çelen
2362,2595,T. Sar,Tanju Sar
2363,2596,G. Erol,Gülbuğ Erol
2364,2597,C. Geray,Cevat Geray
2365,2598,S. Bayındır,Servet Bayındır
2366,2599,H. Köroğlu,Hüseyin Köroğlu
2367,2600,M. Apaydın,Mustafa Apaydın
2368,2601,T. Çeviker,Turgut Çeviker
2369,2602,Ş. F. Erlaçin,Şükrü F. Erlaçin
2370,2603,A. Ödekan,Ayla Ödekan
2372,2605,E. Key,Elif Key
2373,2606,A. Kızılca,Ali Kızılca
2374,2607,A. Erden,Aysu Erden
2375,2608,F. C. Erdinç,F. Cengiz Erdinç
2376,2609,D. Çetin,Duran Çetin
2377,2610,C. Tanrıkorur,Cinuçen Tanrıkorur
2379,2612,H. Alpin,Hakan Alpin
2380,2613,İ. Savaş,İlhami Savaş
2381,2614,A. Cemil,Arif Cemil
2382,2615,A. N. Bıçakçı,Ali Naci Bıçakçı
2383,2616,B. Yaman,Bahattin Yaman
2384,2617,H. Evrensel,Hakan Evrensel
2385,2618,M. Sümer,Mahmut Sümer
2386,2619,F. Dereköylü,Fatmanur Dereköylü
2387,2620,E. Acar,Ekrem Acar
2388,2621,C. Berker,Caner Berker
2390,2623,K. Temizel,Kaan Temizel
2391,2624,Y. Değirmenci,Yaşar Değirmenci
2392,2625,M. Karayaman,Mehmet Karayaman
2393,2626,A. Turani,Adnan Turani
2394,2627,A. F. Okyar,Ali Fethi Okyar
2396,2629,Ü. Akmen,Üstün Akmen
2397,2630,B. Semerci,Bekir Semerci
2398,2631,G. Akın,Gülten Akın
2399,2632,C. Otacı,Cengiz Otacı
2400,2633,A. Altındal,Aytunç Altındal
2401,2634,T. Çavdar,Tevfik Çavdar
2402,2635,N. Koç,Nurettin Koç
2403,2636,Y. Ercan,Yavuz Ercan
2405,2638,I. Yurtışığı,Işıl Yurtışığı
2406,2639,A. Alıcı,Akın Alıcı
2407,2640,İ. Özkeçeci,İlhan Özkeçeci
2408,2641,E. Güçbilmez,Erdoğan Güçbilmez
2409,2642,M. L. Kaya,Muhammet Lütfü Kaya
2410,2643,S. Dönmezer,Sulhi Dönmezer
2411,2644,A. Uçan,Ali Uçan
2412,2645,M. B. Arık,M. Bilâl Arık
2413,2646,K. Demircan,Kadir Demircan
2414,2647,F. Teymur Artır,Farika Teymur Artır
2415,2648,A. Aktaş Yasa,Azize Aktaş Yasa
2416,2649,A. L. Alkan,A. Levent Alkan
2417,2650,S. Öztürk,Serhat Öztürk
2418,2651,Ö. Balkılıç,Özgür Balkılıç
2419,2652,S. F. Ülgener,Sabri F. Ülgener
2420,2653,S. Özer Pınarbaşı,Simge Özer Pınarbaşı
2421,2654,K. Batır,Kerem Batır
2422,2655,E. Öz,Erkan Öz
2423,2656,K. Alemdar,Korkmaz Alemdar
2424,2657,S. Çağırıcı,Sabriye Çağırıcı
2425,2658,N. U. Ucuzsatar,Necati Ulunay Ucuzsatar
2426,2659,Z. Kuyaş,Zuhal Kuyaş
2427,2660,Y. Gürbüz,Yaşar Gürbüz
2428,2661,B. Şimşek,Bedrettin Şimşek
2429,2662,K. Taşkent,Kâzım Taşkent
2431,2664,E. Mataracı,Ertan Mataracı
2432,2665,B. B. Alperen,Bilâl Bülent Alperen
2434,2667,Z. Öztek,Zafer Öztek
2435,2668,K. Bayram,Kemal Bayram
2436,2669,F. İzbudak Akıncı,Ferda İzbudak Akıncı
2437,2670,S. Koca,Salih Koca
2438,2671,A. Kurtkan Bilgiseven,Amiran Kurtkan Bilgiseven
2439,2672,V. Kanetti,Vivet Kanetti
2440,2673,K. Özen,Kutlu Özen
2441,2674,D. Kadıoğlu,Demirhan Kadıoğlu
2442,2675,F. S. Oral,Fuat Süreyya Oral
2443,2676,H. Uluğbay,Hikmet Uluğbay
2444,2677,S. Kılıçoğlu,Safa Kılıçoğlu
2445,2678,Ö. Demircan,Ömer Demircan
2446,2679,S. Eyice,Semavi Eyice
2447,2680,Memduh Şevket Paşa,Memduh Şevket Paşa
2448,2681,C. Akçakayalıoğlu,Cihat Akçakayalıoğlu
2449,2682,S. Akinan,Serdar Akinan
2450,2683,H. Y. Biçen,Hüseyin Yüksel Biçen
2451,2684,M. Karpuzcu,Mehmet Karpuzcu
2452,2685,S. Çakır,Serkan Çakır
2453,2686,A. Nacaroğlu,Arif Nacaroğlu
2454,2687,H. M. Yalçıner,H. Mustafa Yalçıner
2455,2688,A. Alp,Aycan Alp
2456,2689,O. Ulagay,Osman Ulagay
2458,2691,Y. Silier,Yıldız Silier
2459,2692,N. Onk,Nizamettin Onk
2460,2693,A. Tacemen,Ahmet Tacemen
2461,2694,N. Öner,Nazmi Öner
2462,2695,A. B. Altunboğa,A. Bilâl Altunboğa
2463,2696,TBMM tutanakları,TBMM tutanakları
2464,2697,D. Akhanlı,Doğan Akhanlı
2465,2698,G. Becerikli,Gökce Becerikli
2466,2699,M. Ş. Bülbül,M. Şahin Bülbül
2467,2700,İ. Özmel,İsmail Özmel
2468,2701,A. Çubukçu,Akın Çubukçu
2469,2702,M. Esen,Mehmet Esen
2470,2703,S. Yeşilyurt,Süleyman Yeşilyurt
2471,2704,O. Çevik,Osman Çevik
2472,2705,A. Kozanoğlu,Ali Kozanoğlu
2473,2706,H. Balcı,Hilmi Balcı
2474,2707,M. Y. Kandemir,Mehmet Yaşar Kandemir
2475,2708,A. Arslan,Akif Arslan
2476,2709,Z. Bayar,Zühtü Bayar
2477,2710,M. T. Demirtepe,M. Turgut Demirtepe
2478,2711,A. R. Gürel,Ayşe Rahşan Gürel
2479,2712,F. Tığlı,Fatih Tığlı
2480,2713,A. S. Odabaşı,Ahmet Sefa Odabaşı
2481,2714,A. Aldoğan,Abuzer Aldoğan
2482,2715,B. Bayraklı,Bayraktar Bayraklı
2484,2717,A. Önel,Arzu Önel
2485,2718,D. Seyhan,Dündar Seyhan
2486,2719,A. Tekin,Akın Tekin
2487,2720,M. Elden,Müge Elden
2488,2721,H. Saraçoğlu,Hüseyin Saraçoğlu
2489,2722,A. İsmail,Ahmetcan İsmail
2490,2723,F. C. Onat,Fuat Cenk Onat
2491,2724,M. Aydın,Mithat Aydın
2492,2725,M. Cemiloğlu,Mustafa Cemiloğlu
2493,2726,İ. G. Arcan,İ. Galip Arcan
2494,2727,N. H. Uluğ,Naşit Hakkı Uluğ
2495,2728,N. İslimyeli,Nüzhet İslimyeli
2496,2729,S. Öztürk,Sırrı Öztürk
2498,2731,Ş. Tekeli,Şirin Tekeli
2499,2732,T. Demirdelen,Tamer Demirdelen
2500,2733,A. C. Gazioğlu,Ahmet C. Gazioğlu
2501,2734,D. Ateş,Doruk Ateş
2502,2735,Z. Özge,Zeynep Özge
2503,2736,A. Dağlar,Ali Dağlar
2504,2737,A. K. Balkanlı,Ali Kemal Balkanlı
2505,2738,U. Aktaş,Uğur Aktaş
2506,2739,H. Koç,Hamdi Koç
2507,2740,N. Sevin,Nureddin Sevin
2508,2741,O. Karakartal,Oğuz Karakartal
2509,2742,M. Tansu,Muzaffer Tansu
2510,2743,L. Alev,Levent Alev
2511,2744,B. Evren,Burçak Evren - Dilek Girgin Can
2512,2745,Z. Bildirici,Ziyaettin Bildirici
2513,2746,H. Hatemi,Hüsrev Hatemi
2514,2747,M. Yurdakök,Murat Yurdakök
2515,2748,S. A. Tan,Serhat Ahmet Tan
2516,2749,Y. Akkaya,Yusuf Akkaya
2517,2750,S. Kemal,Seyit Kemal
2518,2751,M. Turan,Metin Turan
2519,2752,B. Altuniş Gürsoy,Belkıs Altuniş Gürsoy
2520,2753,N. Kaya,Nusret Kaya
2521,2754,İ. Çetişli,İsmail Çetişli
2522,2755,R. Tamer,Rauf Tamer
2523,2756,B. Yıldız,Bahattin Yıldız
2524,2757,O. Z. Özturanlı,O. Zeki Özturanlı
2525,2758,P. Ergun,Pervin Ergun
2526,2759,E. Mutlu,Erol Mutlu
2527,2760,E. A. Bulut,Eduard Alan Bulut
2528,2761,S. İzcioğlu,Sabahattin İzcioğlu
2529,2762,Y. Aktar,Yücel Aktar
2530,2763,Z. Sönmez,Zeki Sönmez
2531,2764,Ş. Kuzgun,Şaban Kuzgun
2532,2765,M. Atabarut,Murat Atabarut
2533,2766,A. Olgun,Akın Olgun
2534,2767,Y. Çoruhlu,Yaşar Çoruhlu
2535,2768,K. Z. Taş,Kenan Ziya Taş
2537,2770,F. Güventürk,Faruk Güventürk
2538,2771,M. İksel,Meliha İksel
2539,2772,E. Uluöz,Eren Uluöz
2540,2773,A. Bayram,Ali Bayram - Özlem Cebeci
2541,2774,A. A. Han,Ahmet Alp Han
2542,2775,E. Maranki,Elmas Maranki - Ahmet Maranki
2543,2776,S. Hiçşaşmaz,Serpil Hiçşaşmaz
2544,2777,M. A. Demir,Mehmed Akif Demir - ‎Yaşar Fersahoğlu
2545,2778,Ö. Tümer,Ömer Tümer
2546,2779,E. Koray,Erkin Koray
2547,2780,M. Aydın,Mahir Aydın
2548,2781,F. Erdoğan,Fatih Erdoğan - Keriman Güldiken
2549,2782,Â. Kahraman,Âlim Kahraman
2550,2783,M. Pala,Mustafa Pala
2551,2784,E. Eren,Erol Eren
2552,2785,A. Ay,Ahmet Ay
2553,2786,C. E. Arseven,Celâl Esat Arseven
2554,2787,Ö. Nida,Ömer Nida
2555,2788,A. Yiğitler,Aytaç Yiğitler
2556,2789,H. H. Korkmazgil,Hasan Hüseyin Korkmazgil
2557,2790,H. F. Beşik,Halit Fuat Beşik
2558,2791,Ş. S. Aydemir,Şevket Süreyya Aydemir
2559,2792,V. O. Bener,Vüs’at Orhan Bener
2561,2794,M. Turgut,Mehmet Turgut
2562,2795,C. Yücel,Can Yücel
2563,2796,N. E. Uzun,Nadir Engin Uzun
2564,2797,M. Söğüt,Mine Söğüt
2565,2798,C. Y. Madran,Cumhur Yılmaz Madran
2566,2799,M. Kabataş,Mehtap Kabataş
2567,2800,O. Kocamaz,Oktay Kocamaz
2568,2801,H. N. Boztepe,Halil Nihad Boztepe
2569,2802,E. Erkoç,Ethem Erkoç
2570,2803,P. Tınaz Gürmen,Pınar Tınaz Gürmen
2571,2804,A. Yazmacı,Ayşegül Yazmacı
2572,2805,M. H. Vahapoğlu,M. Hidayet Vahapoğlu
2573,2806,M. Temel,Mehmet Temel
2574,2807,O. Usta,Orkun Usta
2575,2808,S. Gezgin,Suat Gezgin - Ali Efe İralı
2576,2809,S. Özdemir,Sait Özdemir
2577,2810,G. Suveren,Gülten Suveren
2578,2811,N. Alan,Nevin Alan
2579,2812,S. Ural,Selçuk Ural
2580,2813,E. Macit,Erkan Macit
2581,2814,Ö. Candaş,Ömür Candaş
2582,2815,İ. Sağdilek,İlker Sağdilek
2583,2816,K. Tilavel Turan,Kâmile Tilavel Turan - Feride Akturan
2584,2817,A. İsmailoğulları,Adnan İsmailoğulları
2585,2818,O. Haznedar,Ozan Haznedar
2586,2819,K. Zengin,Kaya Zengin
2587,2820,M. Ferik,Muhammer Ferik
2588,2821,Âşık Abdi,Âşık Abdi
2589,2822,H. C. Çambel,Hasan Cemil Çambel
2590,2823,B. Parlak,Bekir Parlak
2591,2824,O. Hanbay,Orhan Hanbay
2592,2825,Y. O. Duman,Yiğit Oğuz Duman
2593,2826,S. Öztemiz,Semanur Öztemiz
2594,2827,K. Yüksel,Kerim Yüksel
2595,2828,M. Karagözoğlu Aslıyürek,Mehlika Karagözoğlu Aslıyürek
2596,2829,D. Ergil,Doğu Ergil
2597,2830,N. Keleş,Nevzat Keleş
2598,2831,İ. Kayacan,İsa Kayacan
2599,2832,L. Aydın,Lütfiye Aydın
2600,2833,Z. Temizel,Zekeriya Temizel
2601,2834,H. Örgün,Halûk Örgün
2602,2835,A. Z. Muslu,Ahmet Zeki Muslu
2603,2836,T. Sorgun,Taylan Sorgun
2604,2837,İ. Dumanoğlu,İlhami Dumanoğlu
2605,2838,A. Dede,Abdürrahim Dede
2606,2839,H. Düşmez,Hanifi Düşmez
2607,2840,B. Yaşar,Banu Yaşar
2609,2842,U. Yeni,Uygar Yeni
2610,2843,E. Gürdoğan,Ersin Gürdoğan
2611,2844,M. G. Genel,Mehmet Gökhan Genel
2612,2845,M. Akar,Mehmet Akar
2613,2846,M. Aksoy,Murat Aksoy
2615,2848,E. Göka,Erol Göka
2616,2849,A. K. Anıt,Ali Kadri Anıt
2617,2850,L. Onat,Leylâ Onat
2618,2851,O. Akay,Oğuz Akay
2619,2852,E. Başak,Enes Başak - Celal Süha Dağlı
2620,2853,C. Esin,Candan Esin
2621,2854,D. Soyer,Dündar Soyer
2622,2855,C. Orhon,Cüneyd Orhon
2623,2856,S. E. Sönmezler,Süleyman E. Sönmezler
2624,2857,F. Andaç,Feridun Andaç
2625,2858,A. Y. Zengin,Ahmet Yaşar Zengin
2626,2859,A. Engin,Arın Engin
2627,2860,M. Bardakçı,M. Bardakçı
2628,2861,A. Toros,Aykut Toros
2629,2862,H. Ataoğlu,Hüseyin Ataoğlu
2630,2863,E. Güngör,Erol Güngör
2631,2864,K. Özalp,Kâzım Özalp
2632,2865,H. Tezcan,Hülya Tezcan
2633,2866,M. Sertoğlu,Midhat Sertoğlu
2634,2867,E. Akyüz,Emrah Akyüz
2635,2868,A. Güleç,Aykut Güleç
2636,2869,F. Kasım,Ferihan Kasım
2637,2870,M. Coral,Mehmet Coral
2638,2871,A. A. Tırpan,Ahmed Adil Tırpan
2639,2872,M. Köseali,Mustafa Köseali
2640,2873,M. E. Erkal,Mustafa E. Erkal
2641,2874,A. Özaydın,Abdülkerim Özaydın
2642,2875,Ö. Çakır,Özlem Çakır
2643,2876,O. Aktan,Oğuz Aktan
2644,2877,S. Özkan,Serdar Özkan
2645,2878,N. Altunya,Niyazi Altunya
2646,2879,M. Barlas,Mete Barlas
2647,2880,İ. Mantıoğlu,İsmail Mantıoğlu
2648,2881,Ç. Varış,Çağlar Varış
2649,2882,M. S. Koçaş,Mehmet Sadi Koçaş
2650,2883,A. Aktaş,Ali Aktaş
2651,2884,B. Özdeniz,Bahri Özdeniz
2652,2885,A. Yaşargün,Abdülkadir Yaşargün
2653,2886,F. Sümer,Faruk Sümer
2654,2887,Ö. F. Yaldızkaya,Ömer Faruk Yaldızkaya
2655,2888,N. Kaya,Nihat Kaya
2656,2889,B. Eczacıbaşı,Bülent Eczacıbaşı
2657,2890,Mesut Cemil,Mesut Cemil
2658,2891,H. Yıldız,Halime Yıldız
2659,2892,H. Şahin,Haluk Şahin
2660,2893,F. Ankara,Feridun Ankara
2661,2894,D. Topaloğlu,Dilera Topaloğlu
2662,2895,M. Karagözoğlu Aslıyüksek,Mehlika Karagözoğlu Aslıyüksek
2663,2896,M. Bilginer,Mesut Bilginer
2664,2897,T. Büyükkerpiç,Tuğba Büyükkerpiç
2665,2898,P. B. Ernas,P. Betül Ernas
2666,2899,N. İlhan,Nadir İlhan
2667,2900,E. Alemdağ,Ebru Alemdağ
2668,2901,K. Erguner,Kudsi Erguner
2669,2902,I. Kırışkan,Işın Kırışkan
2670,2903,T. Tarcan Çandar,Tûba Tarcan Çandar
2671,2904,Z. Kurşun,Zekeriya Kurşun
2672,2905,H. İnalcık,Halil İnalcık
2673,2906,L. S. Akalın,L. Sami Akalın
2675,2908,S. Divitçioğlu,Sencer Divitçioğlu
2677,2910,M. Ülküsal,Müstecib Ülküsal
2678,2911,Y. Armağan,Yalçın Armağan
2679,2912,Ü. Garih,Üzeyir Garih
2680,2913,S. Büyükkarcı,Süleyman Büyükkarcı
2681,2914,B. Sezer,Baykan Sezer
2682,2915,Y. H. Erdem,Y. Hakan Erdem
2683,2916,A. Uçman,Abdullah Uçman
2684,2917,G. A. Ernek Alan,Gülseli Aygül Ernek Alan
2685,2918,R. Şentürk,Recep Şentürk
2686,2919,H. Suphi,Hamdullah Suphi
2687,2920,A. K. Meram,Ali Kemal Meram
2688,2921,K. Boratav,Korkut Boratav
2689,2922,C. F. Şendil,Cihat Furkan Şendil
2691,2924,E. Özyürek,Ercan Özyürek
2692,2925,C. Çiftçi,Cafer Çiftçi
2693,2926,Köroğlu,Köroğlu
2694,2927,Fahri Celâlettin,Fahri Celâlettin
2696,2929,A. Tohumcu,Aslı Tohumcu
2697,2930,F. Gök,Fatma Gök
2698,2931,Y. Donat,Yavuz Donat
2699,2932,N. Selen,Nevin Selen
2700,2933,O. Ş. Gökyay,Orhan Şahin Gökyay
2701,2934,S. Albayrak,Sadık Albayrak
2702,2935,B. Nakip,Bülent Nakip
2703,2936,B. Özbay,Bilal Özbay
2704,2937,Ö. Başargan,Özdemir Başargan
2705,2938,N. Tunçdilek,Necdet Tunçdilek
2706,2939,İ. Çalışlar,İzzettin Çalışlar
2707,2940,H. Z. Koşay,Hamit Zübeyr Koşay
2708,2941,H. K. Tongar,Hatice Kübra Tongar
2709,2942,A. S. Güneyçal,Aydın Sami Güneyçal
2711,2944,H. Akçay,Hamit Akçay
2712,2945,O. Öndeş,Osman Öndeş
2713,2946,F. Tilbe,Fethiye Tilbe
2714,2947,S. Kocabay,Sabri Kocabay
2715,2948,Ö. N. Bilmen,Ömer Nasuhi Bilmen
2716,2949,Y. Mardin,Yusuf Mardin
2717,2950,G. Karadağ Ağkurt,Gülhan Karadağ Ağkurt
2718,2951,K. Karabekir,Kâzım Karabekir
2719,2952,E. Altunay,Erhan Altunay
2720,2953,C. Gener,Cihangir Gener
2722,2955,Ahmet Vefik Paşa,Ahmet Vefik Paşa
2723,2956,C. Kafkas,Cüneyt Kafkas
2724,2957,E. Tonguç,Engin Tonguç
2725,2958,F. Alemdar,Fatih Alemdar
2726,2959,İ. Başgöz,İlhan Başgöz
2727,2960,R. Karalar,Ridvan Karalar
